STOP_NAME;STOP_NUMBER;DISTANCE;TIME_A;TIME_R;STOP_TIME;POSITION_X;POSITION_Y
Lausanne-Flon, pl. de l'Europe;8591818;0;;60;;2537985;1152434
Lausanne, Vigie;8592133;520;60;120;;2537484;1152574
Lausanne, Montelly;8501207;1316;120;60;;2536689;1152614
Lausanne, Provence;8501208;1726;60;60;;2536314;1152778
Lausanne, Malley;8501209;2203;60;180;;2535848;1152880
Lausanne, Bourdonnette;8501210;3186;180;60;;2534868;1152794
Chavannes-R., UNIL-Chamberonne;8501211;3592;60;15397;;2534478;1152904
Chavannes-R., UNIL-Mouline;8501212;4046;15397;60;;2534033;1152995
Ecublens VD, UNIL-Sorge;8501213;4542;60;120;;2533622;1152717
Ecublens VD, EPFL;8501214;5113;120;60;;2533051;1152695
Ecublens VD, Bassenges;8501215;5405;60;60;;2532935;1152962
Ecublens VD, Cerisaie;8501216;5787;60;60;;2533089;1153312
Chavannes-R., Crochy;8501217;6398;60;60;;2533358;1153861
Ecublens VD, Epenex;8501218;7020;60;120;;2533641;1154414
Renens VD, gare;8530749;7365;120;;;2533985;1154384
